"word","definition"
"jupiter","One of the planets, being the brightest except Venus, and the largest of them all, its mean diameter being about 85,000 miles. It revolves about the sun in 4,332.6 days, at a mean distance of 5.2028 from the sun, the earth's mean distance being taken as unity."""
"junto","A secret council to deliberate on affairs of government or politics; a number of men combined for party intrigue; a faction; a cabal; as, a junto of ministers; a junto of politicians."""
"abrogate","To annul by an authoritative act; to abolish by the authority of the maker or his successor; to repeal; -- applied to the repeal of laws, decrees, ordinances, the abolition of customs, etc."""
"bardling","An inferior bard."
"gossip","To prate; to chat; to talk much."
"expunged","of Expunge"
"craker","One who boasts; a braggart."
"ambusher","One lying in ambush."
"palmister","One who practices palmistry"
"precipitant","Unexpectedly or foolishly brought on or hastened; rashly hurried; hasty; sudden; reckless."
"bank","To keep a bank; to carry on the business of a banker."
"seconder","One who seconds or supports what another attempts, affirms, moves, or proposes; as, the seconder of an enterprise or of a motion."""
"eudemonistic","Alt. of Eudaemonistic"
"clatteringly","With clattering."
"etymologer","An etymologist."
"wurbagool","A fruit bat (Pteropus medius) native of India. It is similar to the flying fox, but smaller."""
"fistic","Pertaining to boxing, or to encounters with the fists; puglistic; as, fistic exploits; fistic heroes."""
"ration","A fixed daily allowance of provisions assigned to a soldier in the army, or a sailor in the navy, for his subsistence."""
"lecture","The act of reading; as, the lecture of Holy Scripture."""
"kindliness","Natural inclination; natural course."
"kernel","To harden or ripen into kernels; to produce kernels."
"weary","To grow tired; to become exhausted or impatient; as, to weary of an undertaking."""
"beseeming","Comeliness."
"magdeburg","A city of Saxony."
"sotadic","A Sotadic verse or poem."
"grate","To reduce to small particles by rubbing with anything rough or indented; as, to grate a nutmeg."""
"rabbet","To unite the edges of, as boards, etc., in a rabbet joint."""
"reduce","To bring or lead back to any former place or condition."
"enormity","The state or quality of exceeding a measure or rule, or of being immoderate, monstrous, or outrageous."""
"spacial","See Spatial."
"diamido-","A prefix or combining form of Diamine. [Also used adjectively.]"
"anthorism","A description or definition contrary to that which is given by the adverse party."
"lift","The sky; the atmosphere; the firmament."
"athermous","Athermanous."
"equal","Not variable; equable; uniform; even; as, an equal movement."""
"inwardly","In the heart or mind; mentally; privately; secret/y; as, he inwardly repines."""
"taproom","A room where liquors are kept on tap; a barroom."
"dunted","Beaten; hence, blunted."""
"contention","Strife in words; controversy; altercation; quarrel; dispute; as, a bone of contention."""
"bateless","Not to be abated."
"faser","One who faces; one who puts on a false show; a bold-faced person."
"inversion","Said of a subject, or phrase, when the intervals of which it consists are repeated in the contrary direction, rising instead of falling, or vice versa."""
"spermatogenesis","The development of the spermatozoids."
"perspicuity","The quality of being perspicuous to the understanding; clearness of expression or thought."
"conservatory","Having the quality of preserving from loss, decay, or injury."""
"intermaxillary","Between the maxillary bones."
"quinoxaline","Any one of a series of complex nitrogenous bases obtained by the union of certain aniline derivatives with glyoxal or with certain ketones."
"geologized","of Geologize"
"sextry","See Sacristy."
"hydrastine","An alkaloid, found in the rootstock of the golden seal (Hydrastis Canadensis), and extracted as a bitter, white, crystalline substance. It is used as a tonic and febrifuge."""
"flexion","Syntactical change of form of words, as by declension or conjugation; inflection."""
"lactim","One of a series of anhydrides resembling the lactams, but of an imido type; as, isatine is a lactim. Cf. Lactam."""
"pack","A bundle of sheet-iron plates for rolling simultaneously."
"shrimp","To contract; to shrink."
"pot-belly","A protuberant belly."
"overpost","To post over; to pass over swiftly, as by post."""
"copts","The principal sect of Christians in Egypt and the valley of the Nile."
"occiput","A plate which forms the back part of the head of insects."
"kelson","See Keelson."
"dynast","A ruler; a governor; a prince."
"tramroad","A road prepared for easy transit of trams or wagons, by forming the wheel tracks of smooth beams of wood, blocks of stone, or plates of iron."""
"oss","To prophesy; to presage."
"volupty","Voluptuousness."
"aketon","See Acton."
"thing","A diminutive or slighted object; any object viewed as merely existing; -- often used in pity or contempt."
"leontodon","A genus of liguliflorous composite plants, including the fall dandelion (L. autumnale), and formerly the true dandelion; -- called also lion's tooth."""
"reptilia","A class of air-breathing oviparous vertebrates, usually covered with scales or bony plates. The heart generally has two auricles and one ventricle. The development of the young is the same as that of birds."""
"fabricate","To invent and form; to forge; to devise falsely; as, to fabricate a lie or story."""
"vestal","A virgin; a woman pure and chaste; also, a nun."""
"piacularity","The quality or state of being piacular; criminality; wickedness."
"guachos","of Guacho"
"fractionary","Fractional."
"heretical","Containing heresy; of the nature of, or characterized by, heresy."""
"intestine","Internal; inward; -- opposed to external."
"unsecret","To disclose; to divulge."
"only","One alone; single; as, the only man present; his only occupation."""
"naked","Mere; simple; plain."
"checker","To variegate or diversify with different qualities, colors, scenes, or events; esp., to subject to frequent alternations of prosperity and adversity."""
"tackle","To seize; to lay hold of; to grapple; as, a wrestler tackles his antagonist; a dog tackles the game."""
"labeling","of Label"
"unbeat","To deliver from the form or nature of a beast."
"honor","That which rightfully attracts esteem, respect, or consideration; self-respect; dignity; courage; fidelity; especially, excellence of character; high moral worth; virtue; nobleness; specif., in men, integrity; uprightness; trustworthness; in women, purity; chastity."""
"viscosimeter","An instrument for measuring the degree of viscosity of liquids, as solutions of gum."""
"ultrared","Situated beyond or below the red rays; as, the ultrated rays of the spectrum, which are less refrangible than the red."""
"suppositional","Resting on supposition; hypothetical; conjectural; supposed."
"bind","To exert a binding or restraining influence."
"tilery","A place where tiles are made or burned; a tile kiln."
"sooth","Pleasing; delightful; sweet."
"megalopolis","A chief city; a metropolis."
"settlement","That which settles, or is settled, established, or fixed."""
"porcellanous","Porcelaneous."
"salsuginous","Growing in brackish places or in salt marshes."
"experimentally","By experiment; by experience or trial."
"bridgeboard","A notched board to which the treads and risers of the steps of wooden stairs are fastened."
"exterminator","One who, or that which, exterminates."""
"like","That which is equal or similar to another; the counterpart; an exact resemblance; a copy."
"interferingly","By or with interference."
"sensitive","Serving to affect the sense; sensible."
"victual","Grain of any kind."
"element","One of the ultimate, undecomposable constituents of any kind of matter. Specifically: (Chem.) A substance which cannot be decomposed into different kinds of matter by any means at present employed; as, the elements of water are oxygen and hydrogen."""
"trouble","To disturb; to perplex; to afflict; to distress; to grieve; to fret; to annoy; to vex."
"kex","A dry husk or covering."
"mitraille","Shot or bits of iron used sometimes in loading cannon."
"re-mark","To mark again, or a second time; to mark anew."""
"sleave","To separate, as threads; to divide, as a collection of threads; to sley; -- a weaver's term."""
